UniverName,Name,Code,Scholarship,Contract,PSchol,PCont,Lang,Type,FirstSub,SecondSub
Buxoro Davlat Tibbiyot Instituti,Xalq tabobati,5511100,135.3,125.4,72,67,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Universiteti,Agrobiznes va investitsion faoliyat,5233300,144.8,97.5,77,52,uz,kunduzgi,Matematika,Chet tili
Buxoro Davlat Universiteti,Agrokimyo va agrotuproqshunoslik,5410100,142.1,123.5,76,66,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Universiteti,Amaliy matematika,5130200,157.6,126.0,84,67,uz,kunduzgi,Matematika,Fizika
Buxoro Davlat Universiteti,Arxeologiya,5120400,145.3,139.0,78,74,uz,kunduzgi,Tarix,Geografiya
Buxoro Davlat Universiteti,Axborot tizimlari va texnologiyalari (tarmoqlar va sohalar bo‘yicha),5330200,141.7,91.8,76,49,uz,kunduzgi,NaN,NaN
Buxoro Davlat Universiteti,Biologiya (turlari bo‘yicha),5140100,163.9,145.5,88,78,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Universiteti,Biotexnologiya (tarmoqlar bo‘yicha),5320500,112.9,94.4,60,50,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Universiteti,Boshlang‘ich ta’lim,5111700,166.8,126.1,89,67,uz,kunduzgi,Matematika,Ona tili
Buxoro Davlat Universiteti,Buxgalteriya hisobi va audit (tarmoqlar bo‘yicha),5230900,154.4,106.7,83,57,uz,kunduzgi,Matematika,Chet tili
Buxoro Davlat Universiteti,Chaqiriqqacha harbiy taʼlim,5111500,129.4,97.6,69,52,uz,kunduzgi,NaN,NaN
Buxoro Davlat Universiteti,Ekologiya va atrof-muhit muhofazasi (tarmoqlar va sohalar bo‘yicha),5630100,115.9,90.7,62,48,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Universiteti,Filologiya va tillarni o‘qitish: fransuz tili,5120114,166.9,110.1,89,59,uz,kunduzgi,NaN,NaN
Buxoro Davlat Universiteti,Filologiya va tillarni o‘qitish: ingliz tili,5120112,185.9,170.4,99,91,uz,kunduzgi,Chet tili,Ona tili
Buxoro Davlat Universiteti,Filologiya va tillarni o‘qitish: nemis tili,5120113,151.0,90.7,81,48,uz,kunduzgi,NaN,NaN
Buxoro Davlat Universiteti,Filologiya va tillarni o‘qitish: o‘zbek tili,5120101,157.8,132.6,84,71,uz,kunduzgi,Ona tili,Chet tili
Buxoro Davlat Universiteti,Fizika,5140200,163.7,107.0,88,57,uz,kunduzgi,Matematika,Fizika
Buxoro Davlat Universiteti,Geografiya,5140600,129.6,79.2,69,42,uz,kunduzgi,Matematika,Geografiya
Buxoro Davlat Universiteti,Gid hamrohligi va tarjimonlik faoliyati: fransuz tili,5611503,147.8,94.7,79,50,uz,kunduzgi,NaN,NaN
Buxoro Davlat Universiteti,Gid hamrohligi va tarjimonlik faoliyati: ingliz tili,5611501,170.1,160.7,91,86,uz,kunduzgi,Chet tili,Ona tili
Buxoro Davlat Universiteti,Gid hamrohligi va tarjimonlik faoliyati: nemis tili,5611502,91.6,75.7,49,40,uz,kunduzgi,NaN,NaN
Buxoro Davlat Universiteti,Ijtimoiy ish: oila va bolalar bilan ishlash,5520102,91.7,69.5,49,37,uz,kunduzgi,Matematika,Chet tili
Buxoro Davlat Universiteti,Iqtisodiyot (tarmoqlar va sohalar bo‘yicha),5230100,179.6,141.5,96,76,uz,kunduzgi,Matematika,Chet tili
Buxoro Davlat Universiteti,Issiqxona xo‘jaligini tashkil etish va yuritish,5411700,92.0,81.9,49,44,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Universiteti,Kimyo (turlari bo‘yicha),5140500,129.2,78.5,69,42,uz,kunduzgi,Kimyo,Matematika
Buxoro Davlat Universiteti,Kompyuter ilmlari va dasturlash texnologiyalari (yo‘nalishlar bo‘yicha),5330100,138.9,91.7,74,49,uz,kunduzgi,Matematika,Fizika
Buxoro Davlat Universiteti,Logistika (agrologistika),5232501,138.1,100.1,74,53,uz,kunduzgi,Matematika,Chet tili
Buxoro Davlat Universiteti,Madaniyat va san’at muassasalarini tashkil etish hamda boshqarish,5151700,160.7,145.4,86,78,uz,kunduzgi,Tarix,Ona tili
Buxoro Davlat Universiteti,Maktabgacha ta’lim,5111800,142.2,104.3,76,56,uz,kunduzgi,Biologiya,Ona tili
Buxoro Davlat Universiteti,Maktabgacha va boshlang‘ich ta’limda xorijiy til (ingliz tili),5112200,170.1,163.7,91,88,uz,kunduzgi,Chet tili,Ona tili
Buxoro Davlat Universiteti,Marketing (tarmoqlar va sohalar bo‘yicha),5230400,157.6,118.6,84,63,uz,kunduzgi,Matematika,Chet tili
Buxoro Davlat Universiteti,Matematika,5130100,170.4,141.9,91,76,uz,kunduzgi,Matematika,Fizika
Buxoro Davlat Universiteti,Mehmonxona xo‘jaligini tashkil etish va boshqarish,5610200,135.2,112.2,72,60,uz,kunduzgi,Matematika,Chet tili
Buxoro Davlat Universiteti,Mevachilik va uzumchilik,5411000,114.1,91.9,61,49,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Universiteti,"Milliy g‘oya, ma’naviyat asoslari va huquq ta’limi",5111600,179.7,150.7,96,81,uz,kunduzgi,Tarix,Ona tili
Buxoro Davlat Universiteti,O‘simliklarni himoya qilish (ekin turlari bo‘yicha),5410300,78.7,69.2,42,37,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Universiteti,Pedagogika va psixologiya,5110900,154.3,107.4,82,57,uz,kunduzgi,Biologiya,Ona tili
Buxoro Davlat Universiteti,Psixologiya: amaliy psixologiya,5210203,142.4,100.5,76,54,uz,kunduzgi,Biologiya,Ona tili
Buxoro Davlat Universiteti,Psixologiya: oila psixologiyasi,5210204,94.4,88.2,50,47,uz,kunduzgi,Biologiya,Ona tili
Buxoro Davlat Universiteti,Psixologiya: sport psixologiyasi,5210202,107.1,92.2,57,49,uz,kunduzgi,Biologiya,Ona tili
Buxoro Davlat Universiteti,Qishloq xo‘jalik mahsulotlarini saqlash va dastlabki ishlash texnologiyasi (mahsulotlar turlari bo‘yicha),5410500,109.9,69.6,59,37,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Universiteti,"Sabzavotchilik, polizchilik va kartoshkachilik",5411600,116.4,78.9,62,42,uz,kunduzgi,Biologiya,Kimyo
Buxoro Davlat Universiteti,Statistika (tarmoqlar va sohalar bo‘yicha),5231400,135.7,101.0,72,54,uz,kunduzgi,Matematika,Chet tili
Buxoro Davlat Universiteti,Tarix (mamlakatlar va yo‘nalishlar bo‘yicha),5120300,163.8,148.3,88,79,uz,kunduzgi,Tarix,Geografiya
Buxoro Davlat Universiteti,Tarjima nazariyasi va amaliyoti: fransuz tili,5120203,128.9,97.3,69,52,uz,kunduzgi,NaN,NaN
Buxoro Davlat Universiteti,Tarjima nazariyasi va amaliyoti: ingliz tili,5120201,170.1,160.8,91,86,uz,kunduzgi,Chet tili,Ona tili
Buxoro Davlat Universiteti,Tarjima nazariyasi va amaliyoti: nemis tili,5120202,90.3,78.4,48,42,uz,kunduzgi,NaN,NaN
Buxoro Davlat Universiteti,Texnologik ta’lim,5112100,110.0,87.9,59,47,uz,kunduzgi,Matematika,Fizika
Buxoro Davlat Universiteti,Turizm (faoliyat yo‘nalishlari bo‘yicha ),5610300,163.8,157.2,88,84,uz,kunduzgi,Tarix,Chet tili
Buxoro Davlat Universiteti,Xorijiy til va adabiyoti: ingliz tili,5111400,182.8,173.3,98,93,uz,kunduzgi,Ona tili,Chet tili
Buxoro Muhandislik Texnika Instituti,Aholi va turistlarning ovqatlanishini tashkil etish servisi,5611400,75.2,65.8,40,35,uz,kunduzgi,Kimyo,Chet tili
Buxoro Muhandislik Texnika Instituti,Arxitektura (turlari bo‘yicha),5340100,103.9,78.8,55,42,uz,kunduzgi,Matematika,Ona tili
Buxoro Muhandislik Texnika Instituti,Axborot tizimlari va texnologiyalari (tarmoqlar va sohalar bo‘yicha),5330200,126.4,95.0,67,51,uz,kunduzgi,NaN,NaN
Buxoro Muhandislik Texnika Instituti,Bino va inshootlar qurilishi (turlari bo‘yicha),5340200,114.1,79.0,61,42,uz,kunduzgi,Matematika,Fizika
Buxoro Muhandislik Texnika Instituti,Devorbop va pardozbop qurilish materiallari texnologiyasi,5341800,76.1,69.3,40,37,uz,kunduzgi,Matematika,Fizika
Buxoro Muhandislik Texnika Instituti,"Elektr texnikasi, elektr mexanikasi va elektr texnologiyalari (tarmoqlar bo‘yicha)",5310700,125.9,93.9,67,50,uz,kunduzgi,Matematika,Fizika
Buxoro Muhandislik Texnika Instituti,Energetika (tarmoqlar bo‘yicha),5310100,129.3,98.0,69,52,uz,kunduzgi,Matematika,Fizika
Buxoro Muhandislik Texnika Instituti,Energiya tejamkorligi va energoaudit,5312100,129.3,81.9,69,44,uz,kunduzgi,Matematika,Fizika
Buxoro Muhandislik Texnika Instituti,Funksional ovqatlanish va bolalar mahsulotlari texnologiyasi,5322800,81.6,66.1,43,35,uz,kunduzgi,Biologiya,Kimyo
Buxoro Muhandislik Texnika Instituti,Kimyoviy texnologiya (ishlab chiqarish turlari bo‘yicha),5320400,97.0,72.5,52,38,uz,kunduzgi,Kimyo,Matematika
Buxoro Muhandislik Texnika Instituti,"Mashinasozlik texnologiyasi, mashinasozlik ishlab chiqarishini jihozlash va avtomatlashtirish",5320200,123.4,82.0,66,44,uz,kunduzgi,Matematika,Fizika
Buxoro Muhandislik Texnika Instituti,Matbaa va qadoqlash jarayonlari texnologiyasi,5320800,72.3,65.8,38,35,uz,kunduzgi,Kimyo,Matematika
Buxoro Muhandislik Texnika Instituti,Materialshunoslik va yangi materiallar texnologiyasi (qurilish),5320101,75.2,66.4,40,35,uz,kunduzgi,Kimyo,Matematika
Buxoro Muhandislik Texnika Instituti,Mehnat muhofazasi va texnika xavfsizligi (tarmoqlar bo‘yicha),5640200,107.5,79.3,57,42,uz,kunduzgi,Matematika,Fizika
Buxoro Muhandislik Texnika Instituti,Menejment (tarmoqlar va sohalar bo‘yicha),5230200,141.0,106.9,75,57,uz,kunduzgi,Matematika,Chet tili
Buxoro Muhandislik Texnika Instituti,"Metrologiya, standartlashtirish va mahsulot sifati menejmenti (tarmoqlar bo‘yicha)",5310900,97.9,78.7,52,42,uz,kunduzgi,Matematika,Fizika
Buxoro Muhandislik Texnika Instituti,Muqobil energiya manbalari (turlari bo‘yicha),5312400,100.9,72.8,54,39,uz,kunduzgi,Matematika,Fizika
Buxoro Muhandislik Texnika Instituti,Neft va gaz ishi (faoliyat turlari bo‘yicha),5311900,157.3,100.5,84,54,uz,kunduzgi,Matematika,Fizika
Buxoro Muhandislik Texnika Instituti,Neft-gazkimyo sanoati texnologiyasi,5321400,87.6,68.9,47,37,uz,kunduzgi,Kimyo,Matematika
Buxoro Muhandislik Texnika Instituti,Oziq-ovqat texnologiyasi (mahsulot turlari bo‘yicha),5321000,94.2,72.3,50,38,uz,kunduzgi,Biologiya,Kimyo
Buxoro Muhandislik Texnika Instituti,"Qurilish materiallari, buyumlari va konstruksiyalarini ishlab chiqarish",5340500,91.6,69.3,49,37,uz,kunduzgi,Matematika,Fizika
